movie_id,genre_id
110375,1
156476,8
136617,9
81583,11
95816,13
141101,22
46935,27
60120,1
128005,13
74640,13
33382,8
201978,16
115494,8
158064,12
132947,1
14919,8
146213,1
156028,8
200178,22
191460,25
114231,13
84713,14
183734,8
5682,22
64484,25
176993,8
13564,1
169694,8
130004,1
38343,1
78857,23
177745,8
165749,1
47178,13
100010,8
108430,22
105668,8
169423,10
575,26
167370,8
68756,22
181091,25
184851,13
118056,22
155737,22
184484,8
171469,27
125416,13
167898,13
151234,13
163609,0
174843,8
191553,8
13140,1
118755,22
192185,16
29696,13
169317,8
196131,27
133706,22
42337,22
108330,14
152312,16
177583,8
72297,25
27224,8
38220,1
65350,8
21417,20
189694,1
67075,22
140496,15
167763,26
78949,5
174168,13
63478,13
128182,5
185923,8
62450,22
152130,13
35302,8
124083,26
180333,16
160001,8
186482,22
59383,13
166154,1
138652,1
37313,1
80252,13
184397,8
81388,27
899,13
98209,27
187900,25
97437,1
165734,8
62456,1
177265,8
96351,22
10115,8
69403,5
144610,8
159349,8
163353,1
81968,11
160029,28
86927,20
199639,8
202122,1
97418,8
200614,13
61529,22
200768,10
14352,13
27727,4
54900,11
64930,8
147369,1
74282,8
199087,1
2494,7
178479,25
12800,25
