id,long,lat
X588,-122.727380069,39.1747481117
X589,-122.638949917,38.9573426389
X590,-122.2518135,37.8016866667
X591,-122.237893778,37.8005801111
X592,-122.226550143,37.7823032857
X593,-122.215253417,37.78295325
X594,-122.192947467,37.7775216667
X595,-122.184159077,37.7339793846
X596,-122.258926929,37.8914027143
X597,-122.29682825,37.8741885
X598,-122.257679727,37.8541167273
X599,-122.231158474,37.7635964737
X600,-122.251247867,37.7605876
X601,-122.084361474,37.706221
X602,-122.067788,37.6868335238
X603,-122.106995684,37.6824422632
X604,-122.079620846,37.6578442308
X605,-122.095064,37.6539735
X606,-122.079323364,37.6437085455
X607,-122.069975889,37.6440096667
X608,-122.280088556,37.8042521111
X609,-122.276491769,37.8106940769
X610,-122.2666418,37.8069588
X611,-122.259131583,37.8113906667
X612,-122.253218533,37.8229707333
X613,-122.212732867,37.8056218
X614,-122.06685925,37.59372325
X615,-122.0178575,37.580846625
X616,-121.946644192,38.0239581923
X617,-122.071925556,37.9810410278
X618,-122.0344421,37.99298845
X619,-121.986839667,37.9694926667
X620,-122.044508944,37.9561082222
X621,-122.058099889,37.8905867778
X622,-121.9496904,37.74673575
X623,-121.977242515,37.7451485758
X624,-122.103514208,37.889474625
X625,-122.309156034,38.0027163103
X626,-120.336819076,38.5209025089
X627,-122.309522897,37.9753346207
X628,-122.310044364,37.9071771364
X629,-122.424681571,37.768213
X630,-121.535694124,39.9440790264
X631,-121.429923933,39.6840885036
X632,-121.56108508,39.50827088
X633,-121.71822327,39.3809268108
X634,-120.434572708,38.3680709656
X635,-122.425028787,39.2717127132
X636,-121.75164956,37.97344272
X637,-121.775081371,38.0111862857
X638,-121.895239176,38.0269978235
X639,-121.024316471,38.8372956703
X640,-120.295349471,38.7257807153
X641,-122.420029727,37.7947514545
X642,-122.406194833,37.7935043333
X643,-122.419875143,37.7854665714
X644,-122.412849375,37.784141
X645,-122.427650714,37.802183
X646,-122.447595909,37.7704584545
X647,-122.446040706,37.7652067647
X648,-122.431283,37.7596462143
X649,-122.439865929,37.7484077143
X650,-122.4024515,37.7614461667
X651,-122.4122873,37.7558248
X652,-122.412511158,37.7322738421
X653,-122.436023091,37.7181385455
X654,-121.19719275,38.7547510833
X655,-121.2621348,38.7373038
X656,-121.31102,38.7398406818
X657,-121.362280667,38.7378608333
X658,-121.325902111,38.8872151111
X659,-122.445066391,37.7296759565
X660,-122.483669062,37.760129125
X661,-122.480946286,37.7274329286
X662,-122.506552556,37.7616701111
X663,-122.481418182,37.7828577273
X664,-122.492764571,37.7764842857
X665,-122.420818143,37.7105051429
X666,-122.502853571,37.7832040714
X667,-121.276867909,37.9629006364
X668,-121.310939476,37.975025381
X669,-121.245050056,37.9542707222
X670,-121.356326917,38.0399306667
X671,-121.287896636,38.033085
X672,-121.231405182,37.8059492727
X673,-120.785122349,35.6387617951
X674,-120.484435934,35.5717651366
X675,-122.415295,37.7044283636
X676,-122.466682471,37.6982558824
X677,-122.485297368,37.6750835263
X678,-122.43387864,37.61774368
X679,-122.364619778,37.5813870556
X680,-122.319914783,37.5653787391
X681,-122.305621048,37.5279549524
X682,-122.303377077,37.5658524615
X683,-122.26184825,37.5615539167
X684,-122.282888571,37.5317091429
X685,-122.2768195,37.4887033333
X686,-121.41569,38.5670501765
X687,-121.9218815,37.3407632
X688,-121.874219538,37.3387144615
X689,-121.483935333,38.5833264444
X690,-121.435621235,38.5791881765
X691,-121.419618636,38.513354
X692,-121.509536143,38.5120350714
X693,-121.419498,38.49041425
X694,-121.4725921,38.5742937
X695,-121.922073292,37.319244
X696,-121.909481706,37.3001584706
X697,-121.926247741,37.2734017778
X698,-121.886711737,37.2774749474
X699,-121.854359733,37.2778450667
X700,-121.816406476,37.2934247619
X701,-121.781744625,37.3123215
X702,-121.833889333,37.3360908
X703,-121.853975462,37.3583601538
X704,-121.375233455,38.615368
X705,-121.492711,38.6318307
X706,-121.502656111,38.6201473333
X707,-121.533143364,38.608506
X708,-121.443318773,38.7175645455
X709,-121.380304737,38.6974871053
X710,-121.368699364,38.6641082727
X711,-121.386344625,38.7221743125
X712,-121.308409176,38.6310840588
X713,-121.321431077,38.6420349231
X714,-121.321468154,38.7032606154
X715,-121.834225643,37.3551205
X716,-121.88783765,37.3783417
X717,-121.866191733,37.3934788
X718,-121.88069,37.4097764286
X719,-121.902586667,37.451399
X720,-121.987343278,37.3482412222
X721,-121.984387043,37.3340556087
X722,-121.972113437,37.3127899375
X723,-121.955849813,37.2844419375
X724,-121.934720074,37.2401938519
X725,-122.022159957,37.2746379565
X726,-121.282044929,38.6845817857
X727,-121.146322294,38.6629062941
X728,-121.107269647,38.6532347059
X729,-121.37041225,38.557835
X730,-121.364455778,38.4179288889
X731,-121.360391467,38.4597508
X732,-121.392673071,38.4596012857
X733,-121.3449583,38.4023639
X734,-121.3402154,38.4374315
X735,-121.433094333,38.4444732593
X736,-121.155270706,38.6949154706
X737,-121.421188643,36.8479384286
X738,-122.036752118,37.3438307059
X739,-121.999634308,37.3548559231
X740,-122.050879917,37.378711
X741,-122.083401235,37.40553
X742,-122.12770725,37.4167673333
X743,-122.155826667,37.4433275833
X744,-122.11332815,37.3039281196
X745,-121.856379471,37.2133720588
X746,-121.825240625,37.264038875
X747,-121.591277421,37.0251989474
X748,-122.040944824,36.9699515882
X749,-122.224341769,38.0827311923
X750,-122.258549048,38.1277156667
X751,-122.181088462,38.0799056538
X752,-121.923984074,38.3455012222
X753,-121.966136125,38.3420048125
X754,-121.975130889,38.3953810741
X755,-122.452797867,38.2868905333
X756,-122.614851867,38.2385228
X757,-122.691276848,38.443720697
X758,-122.712486278,38.4581698889
X759,-120.943042111,37.6031565556
X760,-120.91155676,37.66558532
X761,-122.320559182,38.3228445455
X762,-122.262588187,38.160271
X763,-120.094011639,37.5458883148
X764,-122.748102889,38.4798540741
X765,-122.758131452,38.4407752258
X766,-120.093264197,37.4295793788
X767,-122.81162375,38.5548665
X768,-122.808825722,38.5455706667
X769,-123.621306671,39.4548436356
X770,-123.370068608,39.2513355407
X771,-123.289135402,39.112045454
X772,-123.185935142,38.976265728
X773,-120.618705556,37.3946723889
X774,-120.578965944,37.3556033333
X775,-120.459591615,37.3251018462
X776,-121.928150111,36.6039202222
X777,-122.973336057,38.6140528552
X778,-120.863981233,37.7529380333
X779,-120.944385389,37.7231888889
X780,-120.968621357,37.6849070714
X781,-120.901598658,37.2202479749
X782,-120.867719043,37.0494676087
X783,-121.660448154,36.7036503846
X784,-121.615994,36.6750794706
X785,-121.33232879,36.1781004436
X786,-121.90803832,36.60472296
X787,-121.831539583,36.6046209167
X788,-121.603492091,36.6622262727
X789,-121.7909128,38.6819347
X790,-120.96196817,36.2580752825
X791,-122.291927769,38.3170214615
X792,-121.692494477,36.2687658117
X793,-121.265010175,37.4603170655
X794,-120.841967813,37.484839125
X795,-121.625209588,39.1466972353
X796,-121.6261177,39.10634895
X797,-122.705407589,40.2056213238
X798,-122.374968795,38.2919594061
X799,-120.943966128,39.3036656667
X800,-122.225039229,38.4372596364
X801,-122.265992546,38.6269311857
X802,-121.188863152,39.2133415061
X803,-120.420826082,37.8144573825
X804,-121.532870467,38.5763693333
X805,-122.142774667,37.7273383333
X806,-122.179756792,38.7608828551
X807,-121.5497378,39.1236971
X808,-122.280260538,37.8236223077
X809,-122.248904231,37.817374
X810,-122.215554091,37.7960076364
X811,-122.196363412,37.7582495882
X812,-122.269503714,37.8753282857
X813,-122.260054,37.8636495556
X814,-122.111530579,37.6928859474
X815,-122.102093286,37.6295395714
X816,-121.854746087,37.6846736957
X817,-122.273063697,37.5264275152
X818,-122.21372232,37.48386624
X819,-122.1114118,37.4675846
X820,-121.889910875,37.284316
X821,-121.811033333,37.3549224167
X822,-121.881148,37.4320922727
X823,-121.961754,37.338055
X824,-121.970212353,37.2640315294
X825,-121.849610857,39.7642435
X826,-121.729283375,37.9984288125
X827,-121.710345,37.9078175217
X828,-121.768122864,37.9874893636
X829,-122.038319933,37.3114313333
X830,-122.106445077,37.4019955385
X831,-121.868996645,37.2118390645
X832,-121.8523936,37.2617453333
X833,-121.751544071,38.5648512857
X834,-122.545345317,38.2187846415
X835,-121.7694892,38.670386
X836,-123.336386069,38.6189510267
X837,-121.003716538,37.6215746923
X838,-120.8795158,37.520957
X839,-120.106225871,37.9426658388
X840,-122.313162467,38.3054908667
