id,coor
1152,[-121.67794      36.66990869]
1153,[-121.656932     36.68781059]
1154,[-121.74466117   36.74497798]
1155,[-121.75607352   36.76601181]
1156,[-121.65159783   36.728706  ]
1157,[-121.65455576   36.72598195]
1158,[-121.60112133   36.6896685 ]
1159,[-121.61534641   36.69263288]
1160,[-121.62191815   36.69384788]
1161,[-121.63345155   36.5502201 ]
1162,[-121.50714968   36.49196075]
1170,[-121.92273894   36.55923976]
1171,[-121.94504157   36.58839068]
1172,[-121.91255764   36.62244414]
1173,[-121.90459687   36.61097393]
1174,[-121.78511186   36.67077953]
1177,[-121.219328     38.77868332]
1180,[-122.36925956   38.39371583]
1181,[-121.951006     37.39727354]
1182,[-121.63723298   36.65419912]
1183,[-122.29844795   38.29351943]
1184,[-122.25947647   38.28868806]
1185,[-122.28590495   38.30357029]
